file,organization,doctype_code,matched
Cục Kiểm tra văn bản và Quản lý xử lý vi phạm hành chính_02b_TP_KTTTQ_Kết q(...) copy.xlsx,Cục Kiểm tra văn bản và Quản lý xử lý vi phạm hành chính,02b,True
Cục Kiểm tra văn bản và Quản lý xử lý vi phạm hành chính_02b_TP_KTTTQ_Kết q(...).xlsx,Cục Kiểm tra văn bản và Quản lý xử lý vi phạm hành chính,02b,True
Cục Kế hoạch - Tài chính_09b_TP_CT_Kết quả chứng thực trên địa bàn Tỉnh_Thà(...).xlsx,Cục Kế hoạch - Tài chính,09b,True
"Cục Quản lý thi hành án dân sự_01e_TP_TĐ-BH-TĐG_Số văn bản chính sách, DT V(...).xlsx",Cục Quản lý thi hành án dân sự,01e,True
Cục Quản lý thi hành án dân sự_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo(...).xlsx,Cục Quản lý thi hành án dân sự,04d,True
Cục Đăng ký giao dịch bảo đảm và Bồi thường nhà nước_01e_TP_TĐ-BH-TĐG_Số vă(...).xlsx,Cục Đăng ký giao dịch bảo đảm và Bồi thường nhà nước,01e,True
Cục Đăng ký giao dịch bảo đảm và Bồi thường nhà nước_04d_TP_PBGDPL_Kết quả(...).xlsx,Cục Đăng ký giao dịch bảo đảm và Bồi thường nhà nước,04d,True
"Học viện Tư pháp_01e_TP_TĐ-BH-TĐG_Số văn bản chính sách, DT VBQPPL do chính(...).xlsx",Học viện Tư pháp,01e,True
Học viện Tư pháp_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo dục pháp luật(...).xlsx,Học viện Tư pháp,04d,True
"Ngân hàng Nhà nước Việt Nam_01d_TP_TĐ-BH-TĐG_Số DT VBQPPL, số TTHC tại DT V(...).xlsx",Ngân hàng Nhà nước Việt Nam,01d,True
"Nhà Xuất bản Tư pháp_01e_TP_TĐ-BH-TĐG_Số văn bản chính sách, DT VBQPPL do c(...) copy.xlsx",Nhà Xuất bản Tư pháp,01e,True
"Nhà Xuất bản Tư pháp_01e_TP_TĐ-BH-TĐG_Số văn bản chính sách, DT VBQPPL do c(...).xlsx",Nhà Xuất bản Tư pháp,01e,True
Nhà Xuất bản Tư pháp_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo dục pháp(...) copy.xlsx,Nhà Xuất bản Tư pháp,04d,True
Nhà Xuất bản Tư pháp_04d_TP_PBGDPL_Kết quả công tác phổ biến giáo dục pháp(...).xlsx,Nhà Xuất bản Tư pháp,04d,True
Sở Công thương_04b_TP_PBGDPL_Kết quả công tác phổ biến giáo dục pháp luật t(...).xlsx,Sở Công thương,04b,True
Sở Công thương_21a_TP_HTPLDN_Kết quả triển khai công tác hỗ trợ pháp lý cho(...).xlsx,Sở Công thương,21a,True
Sở Giáo dục và đào tạo_04b_TP_PBGDPL_Kết quả công tác phổ biến giáo dục phá(...).xlsx,Sở Giáo dục và đào tạo,04b,True
Sở Giáo dục và đào tạo_21a_TP_HTPLDN_Kết quả triển khai công tác hỗ trợ phá(...).xlsx,Sở Giáo dục và đào tạo,21a,True
Sở Khoa học và Công nghệ_21a_TP_HTPLDN_Kết quả triển khai công tác hỗ trợ p(...).xlsx,Sở Khoa học và Công nghệ,21a,True
Sở Nông nghiệp và Môi trường_04b_TP_PBGDPL_Kết quả công tác phổ biến giáo d(...).xlsx,Sở Nông nghiệp và Môi trường,04b,True
